sentence_type,country,msg_type,repeat,mmsi,status,turn,speed,accuracy,lon,lat,course,heading,second,maneuver,raim,radio,ais_version,imo,callsign,shipname,ship_type,to_bow,to_stern,to_port,to_starboard,epfd,month,day,hour,minute,draught,destination,dte
AIVDM,Singapore,1,0,563361000,0,0.0,17.7,False,71.999835,15.989252,147.8,148,50,0,False,66657,,,,,,,,,,,,,,,,,
AIVDM,Liberia,1,0,636021737,0,0.0,11.1,True,70.217467,14.2221,309.0,310,28,0,False,33890,,,,,,,,,,,,,,,,,
AIVDM,Panama,1,0,373562000,0,0.0,10.8,True,74.077787,13.9876,347.5,347,20,0,False,2235,,,,,,,,,,,,,,,,,
AIVDM,Singapore,1,0,566510000,0,0.0,14.0,True,72.863227,16.069753,359.5,1,29,0,False,115303,,,,,,,,,,,,,,,,,
AIVDM,Marshall Islands,1,0,538003860,9,-128.0,0.0,True,70.67493,18.362523,360.0,511,30,0,True,2232,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.931118,15.29627,175.3,179,30,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Barbados,1,0,314876000,0,0.0,11.7,True,70.124232,13.79108,64.1,65,27,0,False,66694,,,,,,,,,,,,,,,,,
AIVDM,Hong Kong,1,0,477833400,0,0.0,11.1,True,67.82176,14.691808,140.2,140,29,0,False,82110,,,,,,,,,,,,,,,,,
AIVDM,Bahamas,1,0,311628000,0,-0.0,15.0,False,72.317455,12.482353,137.4,140,29,0,False,24600,,,,,,,,,,,,,,,,,
AIVDM,Norway,1,0,257394000,0,0.0,12.9,True,73.07165,14.568717,336.0,337,31,0,False,2192,,,,,,,,,,,,,,,,,
AIVDM,South Korea,1,0,440163000,8,0.0,12.5,True,71.146833,15.859572,136.2,139,28,0,False,49341,,,,,,,,,,,,,,,,,
AIVDM,Singapore,1,0,563180800,0,0.0,15.7,False,69.852415,19.451722,298.2,299,29,0,False,2234,,,,,,,,,,,,,,,,,
AIVDO,Unknown,1,0,987654321,0,0.0,6.3,True,72.93112,15.29624,175.3,179,31,0,True,0,,,,,,,,,,,,,,,,,
AIVDM,Vietnam,1,0,574005600,0,0.0,14.3,True,72.907983,14.205317,132.0,133,32,0,False,49942,,,,,,,,,,,,,,,,,
